,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
0,1403,경기도,가평군,콘도미니엄,켄싱턴리조트청평,㈜이랜드 민혜정,영업중,-,-,지하2층~지상7층,6360,19997.68,176,가평군 상면 청군로 430,"수영장, 레스토랑",경기도 가평군 상면 청군로 430,경기도 가평군 상면 덕현리 402-10 켄싱턴리조트청평,37.759827,127.3953595,경기도,가평군,상면 덕현리,402-10,402,10,4182033025,4182033025-0-04020010,,,,,,,
1,1404,경기도,가평군,콘도미니엄,"아난티펜트하우스, 서울",에머슨퍼시픽㈜ 이만규,영업중,-,-,지하3층~지상4층,15479.99,47838.58,76,가평군 설악면 유명로 1007-90,"수영장, 레스토랑",경기도 가평군 설악면 유명로 1007-90,경기도 가평군 설악면 방일리 653-4,37.6241052,127.4801094,경기도,가평군,설악면 방일리,653-4,653,4,4182031033,4182031033-0-06530004,,,,,,,
2,1405,경기도,가평군,콘도미니엄,W지우리조트,김학노,영업중,-,-,지하3층~지상1층,7698,5491,98,가평군 가평읍 북한강변로 970-9,"수영장, 까페",경기도 가평군 가평읍 북한강변로 970-9,경기도 가평군 가평읍 달전리 159-15,37.7998048,127.5232848,경기도,가평군,가평읍 달전리,159-15,159,15,4182025023,4182025023-0-01590015,,,,,,,
3,1406,경기도,가평군,관광호텔,이코노미호텔 가평점,윤정일,영업중,2성급,2016.9.26.,지하1~지상5,2019,4000.42,39,경기도 가평군 설악면 선촌리 541-1외 1필지,"식당, 휴게실, 찜질방, 노래방 등",경기도 가평군 설악면 선촌리 541-1외 1필지,경기도 가평군 설악면 선촌리 541,37.6779073,127.4738345,경기도,가평군,설악면 선촌리,541,541,0,4182031022,4182031022-0-05410000,,,,,,,
4,1407,경기도,가평군,관광호텔,클럽인너호텔앤리조트,한상구,영업중,특2등급,2015.12.18.,지하1~지상4,10935,10948,70,경기도 가평군 가평읍 북한강변로 382,"야외수영장, 휘트니스센터, 식당, 카페 등",경기도 가평군 가평읍 북한강변로 382,경기도 가평군 가평읍 금대리 23-3,37.7631318,127.5406694,경기도,가평군,가평읍 금대리,23-3,23,3,4182025034,4182025034-0-00230003,,,,,,,
5,1408,경기도,가평군,관광호텔,파로티아 워터하우스호텔,강유진,영업중,미신청,-,지하1~지상3,6811,5148.75,65,경기도 가평군 설악면 미사리로 707-98,-,경기도 가평군 설악면 미사리로 707-98,경기도 가평군 설악면 미사리 498-3,37.7181505,127.5417308,경기도,가평군,설악면 미사리,498-3,498,3,4182031026,4182031026-0-04980003,,,,,,,
6,1409,경기도,가평군,가족호텔,캐비어파크알앤디리조트,김상우,영업중,-,-,지하1~지상5,-,2635,52,경기도 가평군 상면 덕현리 산74-12,-,경기도 가평군 상면 덕현리 산74-12,경기도 가평군 상면 덕현리 산74-12 청평가족호텔,37.7538027,127.4134872,경기도,가평군,상면 덕현리,74-12,74,12,4182033025,4182033025-0-00740012,,,,,,,
7,1410,경기도,가평군,가족호텔,까사32,김애니은희,영업중,-,-,지하1~지상4,4449,3016,31,경기도 가평군 설악면 회곡리 467-6,"비즈니스센터, 식당, 수영장",경기도 가평군 설악면 회곡리 467-6,경기도 가평군 설악면 회곡리 467-6 CASA32 리조트,37.7112221,127.4455028,경기도,가평군,설악면 회곡리,467-6,467,6,4182031023,4182031023-0-04670006,Casa 32 Resort,1,디럭스룸 (Deluxe),"159,529","191,435",76m²,2021-12-13
8,1411,경기도,가평군,가족호텔,퍼핀스베이,표건우,영업중,-,-,지하2~지상4,1378,2599,31,경기도 가평군 설악면 유명로 2450,-,경기도 가평군 설악면 유명로 2450,경기도 가평군 설악면 회곡리 743-1,37.7160297,127.4390378,경기도,가평군,설악면 회곡리,743-1,743,1,4182031023,4182031023-0-07430001,,,,,,,
9,1412,경기도,가평군,가족호텔,오버더마운틴,이기원,영업중,-,-,지하1~지상3,7743,3101.44,30,경기도 가평군 상면 행현리 635,-,경기도 가평군 상면 행현리 635,경기도 가평군 상면 행현리 635 Over the mountain,37.7450262,127.3479375,경기도,가평군,상면 행현리,635,635,0,4182033023,4182033023-0-06350000,,,,,,,
10,1413,경기도,가평군,호스텔,AUGUST,이계림,영업중,-,-,지하1~지상4,2926,1512.99,26,경기도 가평군 설악면 자잠로282번길 92,"까페, 수영장",경기도 가평군 설악면 자잠로282번길 92,경기도 가평군 설악면 사룡리 133-3,37.7007882,127.4970079,경기도,가평군,설악면 사룡리,133-3,133,3,4182031024,4182031024-0-01330003,,,,,,,
11,1414,경기도,가평군,호스텔,마로니에,강정자,영업중,-,-,지하1~지상2,3724,960.8,10,경기도 가평군 청평면 호명리길 57-98,-,경기도 가평군 청평면 호명리길 57-98,경기도 가평군 청평면 호명리 144-4,37.7245078,127.459883,경기도,가평군,청평면 호명리,144-4,144,4,4182032525,4182032525-0-01440004,,,,,,,
12,1415,경기도,가평군,호스텔,아쿠아비타,국제자산신탁㈜,영업중,-,-,지하1~지상4,3127,1625.03,19,경기도 가평군 설악면 자잠로 282번길 72-235,-,경기도 가평군 설악면 자잠로 282번길 72-235,경기도 가평군 설악면 사룡리 9-37,37.6961182,127.5077412,경기도,가평군,설악면 사룡리,9-37,9,37,4182031024,4182031024-0-00090037,,,,,,,
13,1416,경기도,가평군,소형호텔,힐스테이,서영순,영업중,미신청,-,지하1~지상3,5464,2267,21,경기도 가평군 설악면 자잠로 282번길 18-16,수영장,경기도 가평군 설악면 자잠로 282번길 18-16,경기도 가평군 설악면 사룡리 177-4,37.6972617,127.4920175,경기도,가평군,설악면 사룡리,177-4,177,4,4182031024,4182031024-0-01770004,,,,,,,
14,1417,경기도,고양시,관광호텔,소노캄 고양,㈜소노호텔앤리조트,영업중,5성급,2020.5.15.,지하 4층 ~ 지상 20층,13733,90124,826,경기도 고양시 일산동구 태극로 20(장항동),"피트니스 클럽, 비즈니스 센터, 야외수영장, 동물병원 등 ",경기도 고양시 일산동구 태극로 20 (장항동),경기도 고양시 일산동구 장항동 1756 소노캄 고양 이스트타워,37.6619268,126.7507528,경기도,고양시 일산동구,장항동,1756,1756,0,4128510400,4128510400-0-17560000,,,,,,,
15,1418,경기도,고양시,관광호텔,호텔 더 윈,-,영업중,2성급,2020.11.19.,지하 3층 ~ 지상 12층,805,6298.62,80,경기도 고양시 덕양구 원흥3로 6-14(원흥동),"외국인서비스식당, 조경시설",경기도 고양시 덕양구 원흥3로 6-14 (원흥동),경기도 고양시 덕양구 원흥동 634-4 호텔더 윈,37.6476314,126.8751221,경기도,고양시 덕양구,원흥동,634-4,634,4,4128110400,4128110400-0-06340004,,,,,,,
