,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,hotel_en_nm,room_nm,room_price,room_area,standard_date
0,536,537,부산광역시,연제구,관광호텔,(주)장연 다이아몬드호텔,이맹근,영업중,2성,2018-12-07 0:00,지하3층~지상8층,3851.2,30869.96,78,부산광역시 연제구 월드컵대로164번길 26 (연산동),"연회장, 음식점 등",부산광역시 연제구 월드컵대로164번길 26 (연산동),부산광역시 연제구 연산동 1127-1 장연빌딩,35.1877482,129.0793316,부산광역시,연제구,연산동,1127-1,1127,1,2647010200,2647010200-0-11270001,,,,,
1,537,538,부산광역시,연제구,관광호텔,시애틀비호텔,옥숙연,영업중,2성,2019-11-26 0:00,지상10,639,3955.82,55,부산광역시 연제구 거제천로154번길 42 (연산동),"조식당, 비지니스룸 ",부산광역시 연제구 거제천로154번길 42 (연산동),부산광역시 연제구 연산동 1255-4 시애틀비 호텔,35.1862861,129.0789134,부산광역시,연제구,연산동,1255-4,1255,4,2647010200,2647010200-0-12550004,,,,,
2,538,539,부산광역시,연제구,관광호텔,아르반시티 호텔,최옥동,영업중,기간만료,,지하2~지상14,565.3,7235.96,137,"부산광역시 연제구 반송로 20 (연산동, 동주빌딩)","헬스장, 조식당, 코인세탁룸","부산광역시 연제구 반송로 20 (연산동, 동주빌딩)",부산광역시 연제구 연산동 603-10 동주빌딩,35.1869587,129.08331,부산광역시,연제구,연산동,603-10,603,10,2647010200,2647010200-0-06030010,,,,,
3,539,540,부산광역시,연제구,관광호텔,더킹호텔,홍영수,영업중,2성,2018-03-08 0:00,지하1~지상10,959.5,4997.12,68,부산광역시 연제구 과정로 161 (연산동),조식당,부산광역시 연제구 과정로 161 (연산동),부산광역시 연제구 연산동 417-3,35.1859209,129.1068237,부산광역시,연제구,연산동,417-3,417,3,2647010200,2647010200-0-04170003,,,,,
4,540,541,부산광역시,수영구,관광호텔,호텔아쿠아펠리스 주식회사,(주)대명화성,영업중,3성,2018-09-12 0:00,지하3~지상19층,2331.7,18393.47,101,부산광역시 수영구 광안해변로 225 (광안동),"일식당,연회장,웨딩홀,워크파크,
스카이라운지,커피숍, 제과점",부산광역시 수영구 광안해변로 225 (광안동),부산광역시 수영구 광안동 192-5 호텔아쿠아펠리스,35.1540727,129.118724,부산광역시,수영구,광안동,192-5,192,5,2650010400,2650010400-0-01920005,,,,,
5,541,542,부산광역시,수영구,관광호텔,유토피아관광호텔,(주)삼인건설,영업중,1성,2018-04-24 0:00,지하2~지상8층,1573,7196.38,43,부산광역시 수영구 무학로9번길 133 (광안동),"커피숍,뷔페, 식당, 단란주점",부산광역시 수영구 무학로9번길 133 (광안동),부산광역시 수영구 광안동 50-3 유토피아관광호텔,35.1674017,129.1170397,부산광역시,수영구,광안동,Mar-50,50,3,2650010400,2650010400-0-00500003,,,,,
6,542,543,부산광역시,수영구,관광호텔,돈비치관광호텔,㈜돈비치관광호텔,영업중,2성,2017-10-26 0:00,지하4~지상10층,1315,8734,44,부산광역시 수영구 광남로 96 (광안동),"카페, 주류판매, 식당",부산광역시 수영구 광남로 96 (광안동),부산광역시 수영구 광안동 199-7 돈비치호텔,35.1504488,129.11506,부산광역시,수영구,광안동,199-7,199,7,2650010400,2650010400-0-01990007,,,,,
7,543,544,부산광역시,수영구,관광호텔,호텔 호메르스,(주)호메르스호텔,영업중,3성,2018-06-14 0:00,지하4~지상20층,1341.8,17033,152,부산광역시 수영구 광안해변로 217 (광안동),"레스토랑, 사우나, 헬스장, 웨딩홀, 
연회장, 타이마사지, 카페",부산광역시 수영구 광안해변로 217 (광안동),부산광역시 수영구 광안동 193-1 호메르스관광호텔,35.1534261,129.1179754,부산광역시,수영구,광안동,193-1,193,1,2650010400,2650010400-0-01930001,,,,,
8,544,545,부산광역시,수영구,관광호텔,(주)캐슬비치관광호텔,보람상조피플㈜,영업중,2성,2019-02-15 0:00,지하1~지상10층,841,4585.49,54,부산광역시 수영구 민락수변로 141 (민락동),"레스토랑,카페, 로비 등",부산광역시 수영구 민락수변로 141 (민락동),부산광역시 수영구 민락동 110-60 호텔AG405,35.1564919,129.1346256,부산광역시,수영구,민락동,110-60,110,60,2650010300,2650010300-0-01100060,,,,,
9,545,546,부산광역시,수영구,관광호텔,투헤븐호텔(2HEAVEN HOTEL),김혜정,영업중,1성,2018-12-27 0:00,지하1~지상4층,521.7,1321,31,"부산광역시 수영구 남천바다로33번길 25, 4~6층 (광안동)","조식공간,노래방,세탁실 등","부산광역시 수영구 남천바다로33번길 25, 4~6층 (광안동)",부산광역시 수영구 광안동 202-8,35.1495084,129.1145735,부산광역시,수영구,광안동,202-8,202,8,2650010400,2650010400-0-02020008,,,,,
